symbol,current_price,target-price,difference
AGNCP,22.74,0,-22.74
AGO,21.78,50,28.22
AGO-E,0,0,0
AGO-F,0,0,0
AGQ,57.25,0,-57.25
AGR,49.47,46,-3.469999999999999
AGRO,5.05,6.5,1.4500000000000002
AGRX,2.91,8,5.09
AGS,4.02,6,1.9800000000000004
AGT,22.1,0,-22.1
AGTC,5.53,14.5,8.969999999999999
AGX,42.02,53,10.979999999999997
AGYS,25.11,24.5,-0.6099999999999994
AGZ,121.46,0,-121.46
AGZD,47.13,0,-47.13
AHC,1.57,3,1.43
AHCO,21.27,23.75,2.4800000000000004
AHH,9.9,11,1.0999999999999996
AHL-C,0,0,0
AHL-D,0,0,0
AHL-E,0,0,0
AHPI,7.34,4.51,-2.83
AHT,3.08,1.5,-1.58
AHT-D,0,0,0
AHT-F,0,0,0
AHT-G,0,0,0
AHT-H,0,0,0
AHT-I,0,0,0
AI,2.72,3.5,0.7799999999999998
AI-C,0,0,0
AIA,71.82,0,-71.82
AIC,24.03,0,-24.03
AIEQ,31.225,0,-31.225
AIF,12.66,0,-12.66
AIG,28.27,36,7.73
AIH,4.83,8.97,4.140000000000001
AIHS,0.4317,0,-0.4317
AIIQ,27.902,0,-27.902
AIKI,0.72,0,-0.72
AIM,2.4,6.5,4.1
AIMC,38.32,36,-2.3200000000000003
AIMT,12.52,35,22.48
AIN,49.91,61,11.090000000000003
AINC,6.11,13.5,7.39
AINV,9.02,8.5,-0.5199999999999996
AIO,21.36,0,-21.36
AIQ,22.895,0,-22.895
AIR,18.8,25,6.199999999999999
AIRG,13.23,11,-2.2300000000000004
AIRI,1.23,2.5,1.27
AIRR,26.5211,0,-26.5211
AIRT,11.6,0,-11.6
AIRTP,21.5,0,-21.5
AIRTW,0.0465,0,-0.0465
AIT,59.87,60,0.13000000000000256
AIV,35.17,40.5,5.329999999999998
AIW,24.18,0,-24.18
AIZ,120.64,145,24.36
AIZP,120,0,-120
AJG,103.47,106,2.530000000000001
AJRD,41.86,54.5,12.64
AJX,9.76,11.5,1.7400000000000002
AJXA,24.5,0,-24.5
AKAM,110.645,116,5.355000000000004
AKBA,9.91,15,5.09
AKCA,11.79,29,17.21
AKER,5.25,4,-1.25
AKO.A,12.17,0,-12.17
AKO.B,13.6,18,4.4
AKR,11.46,13,1.5399999999999991
AKRO,34.54,56.5,21.96
AKTS,8.67,10,1.33
AKTX,1.75,5,3.25
AKUS,22.03,0,-22.03
AL,29.1,38,8.899999999999999
ALAC,10.78,0,-10.78
ALACR,0,0,0
ALACU,10.8,0,-10.8
ALACW,0.09,0,-0.09
ALB,89.74,68,-21.739999999999995
ALBO,30.09,52,21.91
ALC,58.61,64,5.390000000000001
ALCO,32.45,38,5.549999999999997
ALDX,7.34,29,21.66
ALE,54.28,65,10.719999999999999
ALEC,12.34,32,19.66
ALEX,12.25,19,6.75
ALFA,63.96,0,-63.96
ALG,110.82,123.5,12.680000000000007
ALGN,294.29,332.5,38.20999999999998
ALGT,115.63,135,19.370000000000005
ALIM,6.73,14.5,7.77
ALIN-E,0,0,0
ALJJ,0.8803,0,-0.8803
ALK,35.43,44,8.57
ALKS,17.07,18,0.9299999999999997
ALL,94.49,119,24.510000000000005
ALL-G,0,0,0
ALL-H,0,0,0
ALL-I,0,0,0
ALLE,100.27,99,-1.269999999999996
ALLK,87.97,93,5.030000000000001
ALLO,36.42,36,-0.4200000000000017
ALLT,10.96,14.5,3.539999999999999
ALLY,21.61,24,2.3900000000000006
ALNA,1.38,6.5,5.12
ALNY,136.6,142,5.400000000000006
ALOT,7.73,26,18.27
ALP-Q,0,0,0
ALPN,9.05,21.5,12.45
ALRM,58.76,62.5,3.740000000000002
ALRN,1.23,5,3.77
ALRS,20.75,18,-2.75
ALSK,2.17,3,0.8300000000000001
ALSN,35.68,44.5,8.82
ALT,24.04,13,-11.04
ALTA,19.75,24.5,4.75
ALTG,8.43,11,2.5700000000000003
ALTL,25.238,0,-25.238
ALTM,13.44,0.75,-12.69
ALTR,40.91,33.5,-7.409999999999997
ALTS,34.977,0,-34.977
ALTY,10.866,0,-10.866
ALUS,9.925,0,-9.925
ALUS=,0,0,0
ALV,69.3,66,-3.299999999999997
ALVR,31.76,0,-31.76
ALX,258.52,280,21.480000000000018
ALXN,100.51,140.5,39.989999999999995
ALXO,45.07,0,-45.07
ALYA,2.1,3.8,1.6999999999999997
AM,7.23,5,-2.2300000000000004
AMAG,10.49,9,-1.4900000000000002
AMAL,11.97,13.5,1.5299999999999994
AMAT,62.27,63,0.7299999999999969
AMBA,45.97,63,17.03
AMBC,12.58,21,8.42
AMBO,2.57,55.39,52.82
AMC,5.19,4,-1.1900000000000004
AMCA,28.1108,0,-28.1108
AMCI,10.27,0,-10.27
AMCIU,10.54,0,-10.54
AMCIW,0.4,0,-0.4
AMCR,11.11,9.25,-1.8599999999999994
AMCX,24.51,27,2.4899999999999984
AMD,83.81,55.5,-28.310000000000002
AME,100.24,95,-5.239999999999995
AMED,242.96,217,-25.960000000000008
AMEH,17.23,23,5.77
AMG,68.59,76.5,7.909999999999997
AMGN,237.64,259,21.360000000000014
AMH,28.69,26,-2.6900000000000013
AMH-D,0,0,0
AMH-E,0,0,0
AMH-F,0,0,0
AMH-G,0,0,0
AMH-H,0,0,0
AMHC,9.77,0,-9.77
AMHCU,10.2,0,-10.2
AMHCW,0.76,0,-0.76
AMJ,13.25,0,-13.25
AMK,23.85,26,2.1499999999999986
AMKR,12.59,10.75,-1.8399999999999999
AMLP,23.8,0,-23.8
AMN,51.26,60,8.740000000000002
AMNA,24.907,0,-24.907
AMNB,22.4,27,4.600000000000001
AMND,26.283,0,-26.283
AMOM,35.66,0,-35.66
AMOT,43.26,44,0.740000000000002
AMOV,12.5,0,-12.5
AMP,154.51,136,-18.50999999999999
AMPE,0.78,4.5,3.7199999999999998
AMPH,20.03,21.5,1.4699999999999989
AMPY,1.01,7,5.99
AMRB,10.25,12,1.75
AMRC,30.58,28,-2.5799999999999983
AMRH,1.52,0.5,-1.02
AMRHW,0.0589,0,-0.0589
AMRK,22.72,19,-3.719999999999999
AMRN,6.91,10.5,3.59
AMRS,3.39,10,6.609999999999999
AMRX,4.14,4,-0.13999999999999968
AMS,2.21,0,-2.21
