symbol,current_price,target-price,difference
BERY,52.59,52,-0.5900000000000034
BEST,4.17,5.99,1.8200000000000003
BETZ,18.3,0,-18.3
BF.A,66.03,0,-66.03
BF.B,72.08,56,-16.08
BFAM,128.57,121.5,-7.069999999999993
BFC,63.59,61,-2.5900000000000034
BFEB,25.51,0,-25.51
BFIN,7.34,11.25,3.91
BFIT,21.345,0,-21.345
BFK,14.16,0,-14.16
BFO,14.74,0,-14.74
BFOR,42.81,0,-42.81
BFRA,10.7,15.5,4.800000000000001
BFS,27.52,32,4.48
BFS-D,0,0,0
BFS-E,0,0,0
BFST,12.13,16.5,4.369999999999999
BFY,14.15,0,-14.15
BFYT,31,31,0
BFZ,13.71,0,-13.71
BG,46.77,63,16.229999999999997
BGB,12.01,0,-12.01
BGCP,2.43,8,5.57
BGFV,6.25,5,-1.25
BGH,13.2,42.5,29.3
BGI,0.735,0,-0.735
BGIO,8.5,0,-8.5
BGNE,240.52,213,-27.52000000000001
BGR,6.96,0,-6.96
BGRN,55.56,0,-55.56
BGS,30.06,19,-11.059999999999999
BGSF,9.66,15.25,5.59
BGT,11.24,0,-11.24
BGX,12.56,0,-12.56
BGY,5.48,0,-5.48
BH,91.81,0,-91.81
BH.A,450.51,0,-450.51
BHAT,1.01,0,-1.01
BHB,20.54,39,18.46
BHC,16.39,24,7.609999999999999
BHE,19.82,28,8.18
BHF,28.46,30.5,2.039999999999999
BHFAL,27.05,0,-27.05
BHFAO,26.75,0,-26.75
BHFAP,27.36,0,-27.36
BHK,15.83,0,-15.83
BHLB,9.12,14,4.880000000000001
BHP,54.51,50.35,-4.159999999999997
BHR,2.25,5,2.75
BHR-D,0,0,0
BHTG,1.39,3.5,2.1100000000000003
BHV,16.13,0,-16.13
BHVN,62.84,85,22.159999999999997
BIB,67.52,0,-67.52
BIBL,32.96,0,-32.96
BICK,29.2869,0,-29.2869
BIDU,122.45,138.24,15.790000000000006
BIF,10.15,0,-10.15
BIG,51.48,42,-9.479999999999997
BIGC,76.1,0,-76.1
BIIB,277.07,293.5,16.430000000000007
BIL,91.54,0,-91.54
BILI,44.99,40.86,-4.130000000000003
BILL,96.71,85,-11.709999999999994
BIMI,1.95,12.5,10.55
BIO,517.95,455,-62.950000000000045
BIO.B,519.65,0,-519.65
BIOC,0.7334,1,0.26659999999999995
BIOL,0.3766,2,1.6234
BIOX,5.03,12.5,7.47
BIP,44.7,48,3.299999999999997
BIPC,51.41,0,-51.41
BIS,33.39,0,-33.39
BIT,16.11,0,-16.11
BITA,15.8,12.77,-3.030000000000001
BIV,93.79,0,-93.79
BIZD,12.03,0,-12.03
BJ,46.08,40,-6.079999999999998
BJAN,30.41,0,-30.41
BJK,38.1,0,-38.1
BJRI,26.22,22,-4.219999999999999
BJUL,28.52,0,-28.52
BJUN,29.632,0,-29.632
BK,35.73,43.5,7.770000000000003
BK-C,0,0,0
BKAG,50.85,0,-50.85
BKCC,2.72,3.4,0.6799999999999997
BKD,2.76,5,2.24
BKE,19.45,14,-5.449999999999999
BKEM,62.307,0,-62.307
BKEP,1.58,1,-0.5800000000000001
BKEPP,5.96,0,-5.96
BKF,46.5896,0,-46.5896
BKH,56.68,72,15.32
BKHY,54.534,0,-54.534
BKI,80.72,80,-0.7199999999999989
BKIE,59.91,0,-59.91
BKK,15.06,0,-15.06
BKLC,64.929,0,-64.929
BKLN,21.77,0,-21.77
BKMC,65.75,0,-65.75
BKN,15.82,0,-15.82
BKNG,1779.37,1650,-129.3699999999999
BKR,15.45,20,4.550000000000001
BKSB,51.71,0,-51.71
BKSC,16.44,0,-16.44
BKSE,66.69,0,-66.69
BKT,6.22,0,-6.22
BKTI,3.08,7,3.92
BKU,21.79,24,2.210000000000001
BKYI,0.6702,2,1.3298
BL,75.595,63.5,-12.094999999999999
BLBD,11.53,17,5.470000000000001
BLCM,6.45,18,11.55
BLCN,36.816,0,-36.816
BLCT,14.93,0,-14.93
BLD,157.38,136.5,-20.879999999999995
BLDP,16.215,10.74,-5.475
BLDR,28.615,24,-4.614999999999998
BLE,15.05,0,-15.05
BLES,28.399,0,-28.399
BLFS,20.31,24,3.6900000000000013
BLHY,23.37,0,-23.37
BLI,63.3,0,-63.3
BLIN,2.02,4.2,2.18
BLK,584.04,520,-64.03999999999996
BLKB,65.545,60,-5.545000000000002
BLL,76.62,80,3.3799999999999955
BLMN,12.24,13.5,1.2599999999999998
BLNK,6.8,5,-1.7999999999999998
BLNKW,3.41,0,-3.41
BLOK,24.65,0,-24.65
BLPH,11.85,30,18.15
BLRX,2.09,11,8.91
BLU,2.62,0,-2.62
BLUE,58.92,109,50.08
BLV,114.05,0,-114.05
BLW,15.07,0,-15.07
BLX,12.17,24,11.83
BMA,18.22,25.5,7.280000000000001
BMAR,28.315,0,-28.315
BMAY,28.31,0,-28.31
BMCH,32.93,29,-3.9299999999999997
BME,42.96,0,-42.96
BMEZ,23.6,0,-23.6
BMI,64.26,53.5,-10.760000000000005
BML-G,0,0,0
BML-H,0,0,0
BML-J,0,0,0
BML-L,0,0,0
BMLP,32.3,0,-32.3
BMO,57.27,84.59,27.32
BMRA,7.72,6.25,-1.4699999999999998
BMRC,31.86,31,-0.8599999999999994
BMRG,10.06,0,-10.06
BMRG=,0,0,0
BMRN,75.03,114,38.97
BMTC,26.49,31,4.510000000000002
BMY,62.19,73,10.810000000000002
BMY^,0,0,0
BND,88.77,0,-88.77
BNDC,27.105,0,-27.105
BNDW,81.93,0,-81.93
BNDX,58.05,0,-58.05
BNED,2.27,3.25,0.98
BNFT,10.835,15,4.164999999999999
BNGO,0.64,1.5,0.86
BNGOW,0.22,0,-0.22
BNKD,12.678,0,-12.678
BNKO,26.533,0,-26.533
BNKU,11.95,0,-11.95
BNKZ,27.614,0,-27.614
BNO,11.5,0,-11.5
BNOV,27.864,0,-27.864
BNR,22.6,31.65,9.049999999999997
BNS,42.13,73.32,31.18999999999999
BNSO,2.84,0,-2.84
BNTC,7.39,14,6.61
BNTX,73.02,43.36,-29.659999999999997
BNY,13.81,0,-13.81
BOCH,7.42,8.25,0.8300000000000001
BOCT,27.49,0,-27.49
BOE,9.78,0,-9.78
BOH,55.36,66.5,11.14
BOIL,45.18,0,-45.18
BOKF,54.83,60,5.170000000000002
BOKFL,26.05,0,-26.05
BOMN,16.99,25.5,8.510000000000002
BOND,112.71,0,-112.71
BOOM,33.9,32.5,-1.3999999999999986
BOOT,25.35,19,-6.350000000000001
BORR,0.927,3.7,2.773
BOSC,2.75,0,-2.75
BOSS,24.904,0,-24.904
BOTJ,10.63,0,-10.63
BOTZ,26.8,0,-26.8
BOUT,24.39,0,-24.39
BOWXU,10,0,-10
BOX,17.76,24,6.239999999999998
BOXL,1.84,2.5,0.6599999999999999
BP,21.46,30,8.54
BPFH,5.765,8.75,2.9850000000000003
BPMC,74.37,100,25.629999999999995
BPMP,11.58,14,2.42
BPOP,36.91,53.5,16.590000000000003
BPOPM,25.65,0,-25.65
BPOPN,26.21,0,-26.21
BPRN,19.31,20.75,1.4400000000000013
BPT,2.43,6,3.57
BPTH,5.16,18,12.84
BPY,11.85,15,3.1500000000000004
BPYPN,19.97,0,-19.97
BPYPO,21.92,0,-21.92
BPYPP,22.4,0,-22.4
BPYU,11.64,0,-11.64
BPYUP,18.84,0,-18.84
BQH,16.13,0,-16.13
BR,136.87,135,-1.8700000000000045
BRBR,19.97,24,4.030000000000001
BRBS,13.8,0,-13.8
BRC,47.39,44,-3.3900000000000006
BREW,15.89,16.5,0.6099999999999994
BRF,17.4115,0,-17.4115
BRFS,3.68,5,1.3199999999999998
BRG,7.23,8,0.7699999999999996
BRG-C,0,0,0
BRG-D,0,0,0
BRID,18.12,7.93,-10.190000000000001
BRK.A,311126,334000,22874
BRK.B,207.43,217.5,10.069999999999993
BRKL,9.51,11,1.4900000000000002
BRKR,42.32,41,-1.3200000000000003
BRKS,50.9,43,-7.899999999999999
BRLI,9.81,32,22.189999999999998
BRLIR,0.15,0,-0.15
BRLIU,10.05,0,-10.05
BRLIW,0.131,0,-0.131
BRMK,9.72,11,1.2799999999999994
BRN,0.84,0,-0.84
BRO,45.52,38,-7.520000000000003
BROG,9.17,0,-9.17
BROGW,0.52,0,-0.52
BRP,23.28,13,-10.280000000000001
BRPA,10.7,0,-10.7
BRPAR,0.24,0,-0.24
BRPAU,13.443,0,-13.443
BRPAW,0.2,0,-0.2
BRQS,0.882,12,11.118
BRT,11.86,13,1.1400000000000006
BRX,11.63,13.5,1.8699999999999992
BRY,3.86,4.5,0.6400000000000001
BRZU,77.28,0,-77.28
